Date,Facility,Average Daily Population
2009-04,Santa Cruz Main Jail,349
2009-05,Santa Cruz Main Jail,337
2009-06,Santa Cruz Main Jail,330
2009-07,Santa Cruz Main Jail,322
2009-08,Santa Cruz Main Jail,345
2009-09,Santa Cruz Main Jail,338
2009-10,Santa Cruz Main Jail,343
2009-11,Santa Cruz Main Jail,340
2009-12,Santa Cruz Main Jail,343
2010-01,Santa Cruz Main Jail,360
2010-02,Santa Cruz Main Jail,352
2010-03,Santa Cruz Main Jail,343
2010-04,Santa Cruz Main Jail,340
2010-05,Santa Cruz Main Jail,339
2010-06,Santa Cruz Main Jail,339
2010-07,Santa Cruz Main Jail,365
2010-08,Santa Cruz Main Jail,367
2010-09,Santa Cruz Main Jail,378
2010-10,Santa Cruz Main Jail,356
2010-11,Santa Cruz Main Jail,375
2010-12,Santa Cruz Main Jail,300
2011-01,Santa Cruz Main Jail,344
2011-02,Santa Cruz Main Jail,336
2011-03,Santa Cruz Main Jail,300
2011-04,Santa Cruz Main Jail,320
2011-05,Santa Cruz Main Jail,324
2011-06,Santa Cruz Main Jail,360
2011-07,Santa Cruz Main Jail,382
2011-08,Santa Cruz Main Jail,374
2011-09,Santa Cruz Main Jail,341
2011-10,Santa Cruz Main Jail,314
2011-11,Santa Cruz Main Jail,295
2011-12,Santa Cruz Main Jail,276
2012-01,Santa Cruz Main Jail,281
2012-02,Santa Cruz Main Jail,289
2012-03,Santa Cruz Main Jail,281
2012-04,Santa Cruz Main Jail,276
2012-05,Santa Cruz Main Jail,292
2012-06,Santa Cruz Main Jail,302
2012-07,Santa Cruz Main Jail,301
2012-08,Santa Cruz Main Jail,330
2012-09,Santa Cruz Main Jail,318
2012-10,Santa Cruz Main Jail,322
2012-11,Santa Cruz Main Jail,315
2012-12,Santa Cruz Main Jail,303
2013-01,Santa Cruz Main Jail,299
2013-02,Santa Cruz Main Jail,300
2013-03,Santa Cruz Main Jail,318
2013-04,Santa Cruz Main Jail,300
2013-05,Santa Cruz Main Jail,296
2013-06,Santa Cruz Main Jail,298
2013-07,Santa Cruz Main Jail,293
2013-08,Santa Cruz Main Jail,325
2013-09,Santa Cruz Main Jail,344
2013-10,Santa Cruz Main Jail,362
2013-11,Santa Cruz Main Jail,356
2013-12,Santa Cruz Main Jail,339
2014-01,Santa Cruz Main Jail,330
2014-02,Santa Cruz Main Jail,340
2014-03,Santa Cruz Main Jail,319
2014-04,Santa Cruz Main Jail,323
2014-05,Santa Cruz Main Jail,295
2014-06,Santa Cruz Main Jail,310
2014-07,Santa Cruz Main Jail,327
2014-08,Santa Cruz Main Jail,313
2014-09,Santa Cruz Main Jail,326
2014-10,Santa Cruz Main Jail,339
2014-11,Santa Cruz Main Jail,330
2014-12,Santa Cruz Main Jail,302
2015-01,Santa Cruz Main Jail,301
2015-02,Santa Cruz Main Jail,301
2015-03,Santa Cruz Main Jail,296
2015-04,Santa Cruz Main Jail,318
2015-05,Santa Cruz Main Jail,336
2015-06,Santa Cruz Main Jail,320
2015-07,Santa Cruz Main Jail,309
2015-08,Santa Cruz Main Jail,315
2015-09,Santa Cruz Main Jail,309
2015-10,Santa Cruz Main Jail,301
2015-11,Santa Cruz Main Jail,290
2015-12,Santa Cruz Main Jail,308
2016-01,Santa Cruz Main Jail,287
2016-02,Santa Cruz Main Jail,281
2016-03,Santa Cruz Main Jail,299
2016-04,Santa Cruz Main Jail,310
2016-05,Santa Cruz Main Jail,306
2016-06,Santa Cruz Main Jail,313
2016-07,Santa Cruz Main Jail,338
2016-08,Santa Cruz Main Jail,330
2016-09,Santa Cruz Main Jail,336
2016-10,Santa Cruz Main Jail,332
2016-11,Santa Cruz Main Jail,313
2016-12,Santa Cruz Main Jail,295
2017-01,Santa Cruz Main Jail,317
2017-02,Santa Cruz Main Jail,328
2017-03,Santa Cruz Main Jail,341
2017-04,Santa Cruz Main Jail,341
2017-05,Santa Cruz Main Jail,341
2017-06,Santa Cruz Main Jail,345
2017-07,Santa Cruz Main Jail,358
2017-08,Santa Cruz Main Jail,372
2017-09,Santa Cruz Main Jail,373
2017-10,Santa Cruz Main Jail,374
2017-11,Santa Cruz Main Jail,383
2017-12,Santa Cruz Main Jail,370
2018-01,Santa Cruz Main Jail,361
2018-02,Santa Cruz Main Jail,377
2018-03,Santa Cruz Main Jail,337
2018-04,Santa Cruz Main Jail,331
2018-05,Santa Cruz Main Jail,334
2018-06,Santa Cruz Main Jail,357
2018-07,Santa Cruz Main Jail,379
2018-08,Santa Cruz Main Jail,356
2018-09,Santa Cruz Main Jail,371
